"","wt.01.r","wt.02.r","wt.04.r","wt.06.r","wt.07.r","wt.09.r","wt.03.r","wt.08.r","wt.08.r","wt.13.r","wt.16.r","wt.21.r","wt.12.r","wt.10.r","wt.20.r","wt.11.r","wt.17.r","wt.22.r","wt.05.r","wt.14.r","wt.18.r","wt.19.r","wt.24.r","wt.25.r","wt.01.l","wt.02.l","wt.06.l","wt.07.l","wt.15.r","wt.23.r","wt.15.l","wt.18.l","wt.19.l","wt.23.l","wt.24.l","wt.25.l","school.year"
"wt.01.r",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968
"wt.02.r",0.929721741890954,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926
"wt.04.r",0.6277431126977,0.673539839579432,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"wt.06.r",0.813771956240463,0.910162955466717,0.74404158908685,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1939
"wt.07.r",0.681678606722999,0.751670142838317,0.885754754068185,0.898744154842889,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1918
"wt.09.r",0.739896393597552,0.818759066645373,0.770514091629861,0.939923021058612,0.907474554224433,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1939
"wt.03.r",0.760715409753546,0.805380916469565,0.6275384546394,0.907146151575652,0.829711707309511,0.871659321344479,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wt.08.r",0.720426804304237,0.806234493684969,0.753410723476462,0.911290978162059,0.878982713193741,0.87175788216492,0.902900480198692,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1939
"wt.08.r.1",0.782983965958651,0.852636120282134,0.733108881958926,0.935936730998108,0.880802427466198,0.912670030628951,0.94089973320515,0.960269786660485,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1939
"wt.13.r",0.796660567806358,0.774055525649639,0.498314886589799,0.849848363099596,0.692836515404732,0.795361688166967,0.887719941930258,0.795380758218924,0.858921566027345,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972
"wt.16.r",0.475602982936303,0.475588733865683,0.596719975028563,0.446737742907108,0.511635587191228,0.430907956624094,0.441925957209308,0.519782861037995,0.509574407166887,0.339609964685079,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968
"wt.21.r",0.561003069634928,0.603438119280078,0.708161828244146,0.620349330134051,0.671935480254812,0.601230285037111,0.578727333207593,0.70056046130738,0.680074096724542,0.444652279750004,0.889756249587069,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"wt.12.r",0.75472407797297,0.820772553016741,0.725839382938861,0.954129026905308,0.91439599172079,0.964111076143663,0.91859962630963,0.893837157858735,0.923658433504368,0.820364042929681,0.418615615011336,0.602472751544574,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
"wt.10.r",0.824285004047136,0.915093215527899,0.630524230667125,0.952018466413112,0.785166094242889,0.875208809324983,0.863861012536017,0.827671323955578,0.880042626228445,0.855567369065555,0.417410782057139,0.549178176042884,0.890232681316893,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1939
"wt.20.r",0.822269428749004,0.843864746650598,0.596088688411215,0.922354962210759,0.768207585814044,0.89218115940488,0.889355323469119,0.818273382784632,0.878505215449068,0.947748224211833,0.375162341233861,0.48834799091133,0.894131486500113,0.92528802852798,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968
"wt.11.r",0.74721989216348,0.842089625994915,0.740964365246358,0.880430785091834,0.823690792142926,0.882611477583781,0.806079255809211,0.797840867185567,0.842847017090158,0.706728570520388,0.466369060826817,0.633643603093649,0.863718416911787,0.848831738976332,0.795348654756642,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"wt.17.r",0.465581334338789,0.42250779893384,0.491134077796072,0.389456694596711,0.417863415521355,0.37543669762376,0.373737902797148,0.395535900964032,0.406007540026956,0.353293704976186,0.877139171208583,0.746307079644916,0.36969170830957,0.380924352166008,0.37249396413687,0.413357768485377,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968
"wt.22.r",0.533390918556277,0.589250867494895,0.871806204406746,0.654541800443719,0.76809751196397,0.675249540888905,0.553324606685409,0.675220926210708,0.652155466802325,0.446298037563917,0.581527132134004,0.705828897808384,0.631829636525985,0.576122235164611,0.525042361453224,0.733648896433483,0.505262542473461,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"wt.05.r",0.682073697311753,0.78778882154321,0.694863103768675,0.884199287869569,0.815995440345789,0.875717726290234,0.84660667277108,0.874004087221344,0.902256484630398,0.779918437879461,0.435925877036588,0.612497083603362,0.863011675436478,0.853762983466246,0.822646134791141,0.820331511970119,0.369083968847872,0.629139760939495,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962
"wt.14.r",0.542831919610784,0.557002820796777,0.600259921124763,0.583105843012165,0.568512387826074,0.532756414438001,0.525538021980611,0.540922515246321,0.565413515842389,0.544336760376662,0.672715970861713,0.723245138317102,0.528934769496363,0.58035812025174,0.568349741567023,0.647107667375725,0.679638688837796,0.779874608022983,0.532976045984982,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972
"wt.18.r",0.675949244605473,0.755767723851412,0.626569888249185,0.842605448153042,0.754037572308416,0.867656510749736,0.84581998186936,0.80854630989147,0.858771004738923,0.807404052200731,0.442139902942801,0.542824363204106,0.831211274940646,0.825393787241326,0.861590104259132,0.78028332576778,0.409649776453543,0.596376056721405,0.860736783797086,0.579890008361684,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968
"wt.19.r",0.812292630516147,0.800897398711944,0.474380914824071,0.839553834178211,0.642735393030701,0.767715240628229,0.830305911851932,0.708030803599673,0.790462124290194,0.965988524484406,0.320710853273851,0.388357898467938,0.778822452682583,0.875668299480551,0.9530815141534,0.713709841499639,0.369388150498069,0.441777567440124,0.731831946776539,0.589063944843609,0.805083797256456,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968
"wt.24.r",0.431973837981031,0.453121000121803,0.734535418437532,0.544109303964646,0.663244047214091,0.566913523141931,0.472191933919195,0.54724300284267,0.548280318921019,0.416806793360074,0.56192764473466,0.666244119042297,0.536227368783968,0.483400225076094,0.484343202303415,0.59482399292455,0.539384704512075,0.897576362279561,0.54008384672211,0.824785928376132,0.541524965120126,0.431940935671775,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"wt.25.r",0.474878739670022,0.585017939031906,0.791287559727304,0.693665137490617,0.780651394605437,0.706058974689198,0.571379936774933,0.697017710067548,0.670749104227032,0.408308583718711,0.588211013257765,0.77476532562473,0.693956353484837,0.583197353206286,0.506494551921785,0.7197864378913,0.508445057196295,0.829349019538927,0.683790036527374,0.680762897692888,0.57718483066116,0.371675723444169,0.764764386973804,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"wt.01.l",0.839775590777507,0.863207060399115,0.621838928587684,0.928823690133388,0.78369367982835,0.874394388150112,0.8943117770058,0.830138470552457,0.890614073207872,0.960239558894458,0.392074652582767,0.511557760024939,0.885049544087041,0.937985702707297,0.978266477232526,0.815114658105087,0.393349851506933,0.589091797953352,0.83356347470619,0.633140202473861,0.857609513683541,0.966495494280965,0.547015532247438,0.5355098006216,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968
"wt.02.l",0.817405675265728,0.905572741387785,0.59066360285912,0.930014378154729,0.746063836238432,0.825121035809791,0.864873010836966,0.837477025574975,0.88889335864957,0.895052569141645,0.411005868322709,0.536220886903307,0.843766680962405,0.966869475487544,0.918361996946934,0.803176332474166,0.372963485860436,0.561828794084501,0.840996321525019,0.591294040327957,0.82887751850205,0.900818248549671,0.473253239734126,0.532727724026242,0.948996077784727,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926
"wt.06.l",0.792759310878845,0.886196421979499,0.734942199425776,0.975191723779949,0.891824414830163,0.913006288655395,0.884472015463763,0.910670114484141,0.927294819856191,0.829974478901352,0.425352439573615,0.620509738160465,0.937745305543296,0.917676249347897,0.879254864992781,0.860400853125328,0.358035600282792,0.662259457232499,0.8663159506902,0.56671330970785,0.803788065723855,0.799912180487914,0.549828149946072,0.698026252361937,0.905495478210803,0.913695883509119,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1939
"wt.07.l",0.694043741949591,0.778083187404216,0.758636777270984,0.919018594361053,0.924543047745767,0.894726139105098,0.854257323742139,0.920268239903924,0.904091557371098,0.734343883782304,0.41541226441766,0.639283340339874,0.93481972680051,0.806579374059916,0.782862247375821,0.811854383705692,0.330739415388764,0.667925418241466,0.844031701666283,0.491438234600295,0.739029967344,0.660674143239941,0.543008248672099,0.734797492560886,0.801919609461733,0.789908956557738,0.945809405077866,1,NA,NA,NA,NA,NA,NA,NA,NA,1918
"wt.15.r",0.641451844015682,0.794955217750206,0.74802827135419,0.863529141939306,0.816930882532996,0.830341905991225,0.763719711952473,0.812353796505454,0.845526263902992,0.617155798255554,0.530037514394177,0.685665900407462,0.81766023375646,0.842066951395197,0.717213430653813,0.86772746470689,0.425831889550225,0.688601354866322,0.867975840127522,0.588769308736358,0.777722897997856,0.609700397126669,0.579420970800697,0.753049871051295,0.740153477147795,0.810624457487555,0.855676371690465,0.81746678922613,1,NA,NA,NA,NA,NA,NA,NA,1970
"wt.23.r",0.679328048228779,0.759044783535892,0.78324447825006,0.883406763955847,0.915340884134757,0.870190333146556,0.827281540561866,0.88678135241963,0.885342954223695,0.727556517273311,0.427081906213015,0.638312877996203,0.890237223377641,0.777748319552005,0.757289993385078,0.781370763145406,0.345070228136209,0.724493601954281,0.812032965817805,0.538513187023727,0.744906608357913,0.655630126236654,0.621842995904405,0.745564099565508,0.791059638346465,0.777968591579961,0.91394803142926,0.926703023059335,0.785835927333981,1,NA,NA,NA,NA,NA,NA,2017
"wt.15.l",0.748434859664459,0.820006763576128,0.605824406252659,0.875492697512036,0.757400963093767,0.807680287326957,0.824951599899107,0.832176811063725,0.884017730602457,0.823225276039509,0.404212990646103,0.589113945403838,0.824025968646928,0.859783812911442,0.806935772032041,0.781127572857444,0.368922485372918,0.551135923352817,0.811069213864761,0.541352039716069,0.733440263880035,0.7703616853314,0.461384253551963,0.620282842936017,0.840593662663957,0.887693053611298,0.879399893378606,0.818323548117314,0.808704055817794,0.804249485708571,1,NA,NA,NA,NA,NA,1970
