"congener","Sampling_Rate","R2","p_value","group"
"PCB1",0.592,0.964,0.000321,"ParticipantA.d"
"PCB2",0.679,0.967,0.000263,"ParticipantA.d"
"PCB3",0.621,0.98,0.000101,"ParticipantA.d"
"PCB4",0.523,0.991,2.08e-05,"ParticipantA.d"
"PCB5",0.685,0.986,5.04e-05,"ParticipantA.d"
"PCB6",0.638,0.995,7.21e-06,"ParticipantA.d"
"PCB7",0.628,0.993,1.21e-05,"ParticipantA.d"
"PCB8",0.66,0.995,5.91e-06,"ParticipantA.d"
"PCB9",0.619,0.994,9.15e-06,"ParticipantA.d"
"PCB10",0.526,0.991,2.08e-05,"ParticipantA.d"
"PCB11",0.972,0.985,5.19e-05,"ParticipantA.d"
"PCB12.13",0.823,0.997,2.86e-06,"ParticipantA.d"
"PCB14",1.73,0.724,0.0198,"ParticipantA.d"
"PCB15",0.826,0.997,2.58e-06,"ParticipantA.d"
"PCB16",0.807,0.997,2.46e-06,"ParticipantA.d"
"PCB17",0.773,0.996,3.35e-06,"ParticipantA.d"
"PCB18.30",0.766,0.996,3.47e-06,"ParticipantA.d"
"PCB19",0.662,0.994,7.87e-06,"ParticipantA.d"
"PCB20.28",0.987,0.997,1.96e-06,"ParticipantA.d"
"PCB21.33",0.993,0.996,3.08e-06,"ParticipantA.d"
"PCB22",1.01,0.996,3.07e-06,"ParticipantA.d"
"PCB23",1.11,0.982,7.73e-05,"ParticipantA.d"
"PCB24",0.892,0.999,2.14e-07,"ParticipantA.d"
"PCB25",0.973,0.998,1.36e-06,"ParticipantA.d"
"PCB26.29",0.951,0.998,1.14e-06,"ParticipantA.d"
"PCB27",0.803,0.998,9.47e-07,"ParticipantA.d"
"PCB31",0.952,0.996,3e-06,"ParticipantA.d"
"PCB32",0.824,0.997,2.28e-06,"ParticipantA.d"
"PCB34",0.972,0.998,1.28e-06,"ParticipantA.d"
"PCB35",1.25,0.981,8.56e-05,"ParticipantA.d"
"PCB36",1.13,0.994,0.000113,"ParticipantA.d"
"PCB37",1.23,0.994,7.32e-06,"ParticipantA.d"
"PCB38",1.17,0.977,0.000129,"ParticipantA.d"
"PCB39",1.68,0.961,0.000378,"ParticipantA.d"
"PCB40.71",1.29,0.995,6.35e-06,"ParticipantA.d"
"PCB41",1.14,0.984,6.44e-05,"ParticipantA.d"
"PCB42",1.19,0.992,1.59e-05,"ParticipantA.d"
"PCB43",1.34,0.985,5.56e-05,"ParticipantA.d"
