"congener","Sampling_Rate","R2","p_value","group"
"PCB1",0.723,0.987,3.89e-05,"ParticipantA.nd"
"PCB2",0.849,0.988,3.49e-05,"ParticipantA.nd"
"PCB3",0.812,0.996,3.08e-06,"ParticipantA.nd"
"PCB4",0.7,0.997,2.04e-06,"ParticipantA.nd"
"PCB5",0.889,0.998,8.65e-07,"ParticipantA.nd"
"PCB6",0.872,0.993,1.2e-05,"ParticipantA.nd"
"PCB7",0.837,0.992,1.51e-05,"ParticipantA.nd"
"PCB8",0.888,0.994,8.18e-06,"ParticipantA.nd"
"PCB9",0.82,0.993,1.03e-05,"ParticipantA.nd"
"PCB10",0.717,0.994,7.65e-06,"ParticipantA.nd"
"PCB11",1.43,0.991,2.14e-05,"ParticipantA.nd"
"PCB12.13",1.19,0.99,2.38e-05,"ParticipantA.nd"
"PCB14",2.09,0.859,0.00498,"ParticipantA.nd"
"PCB15",1.2,0.99,2.53e-05,"ParticipantA.nd"
"PCB16",1.13,0.983,6.78e-05,"ParticipantA.nd"
"PCB17",1.08,0.987,4.27e-05,"ParticipantA.nd"
"PCB18.30",1.06,0.988,3.58e-05,"ParticipantA.nd"
"PCB19",0.902,0.992,1.62e-05,"ParticipantA.nd"
"PCB20.28",1.46,0.981,8.43e-05,"ParticipantA.nd"
"PCB21.33",1.49,0.982,8.04e-05,"ParticipantA.nd"
"PCB22",1.52,0.981,8.39e-05,"ParticipantA.nd"
"PCB23",1.56,0.947,0.000673,"ParticipantA.nd"
"PCB24",1.23,0.988,3.31e-05,"ParticipantA.nd"
"PCB25",1.43,0.981,8.35e-05,"ParticipantA.nd"
"PCB26.29",1.38,0.982,7.43e-05,"ParticipantA.nd"
"PCB27",1.12,0.985,5.4e-05,"ParticipantA.nd"
"PCB31",1.43,0.982,7.83e-05,"ParticipantA.nd"
"PCB32",1.18,0.984,5.79e-05,"ParticipantA.nd"
"PCB34",1.37,0.975,0.000151,"ParticipantA.nd"
"PCB35",2.27,0.979,0.000107,"ParticipantA.nd"
"PCB36",1.21,0.666,0.0296,"ParticipantA.nd"
"PCB37",2.09,0.981,9.17e-05,"ParticipantA.nd"
"PCB38",1.81,0.987,4.3e-05,"ParticipantA.nd"
"PCB39",2.13,0.994,9.21e-06,"ParticipantA.nd"
"PCB40.71",1.99,0.967,0.000257,"ParticipantA.nd"
"PCB41",1.76,0.981,8.59e-05,"ParticipantA.nd"
"PCB42",1.88,0.969,0.000234,"ParticipantA.nd"
"PCB43",1.63,0.897,0.00262,"ParticipantA.nd"
"PCB44.47.65",1.82,0.977,0.000129,"ParticipantA.nd"
"PCB45",1.54,0.981,9.14e-05,"ParticipantA.nd"
"PCB46",1.57,0.975,0.000146,"ParticipantA.nd"
"PCB48",1.73,0.964,0.000307,"ParticipantA.nd"
"PCB49.69",1.74,0.976,0.000137,"ParticipantA.nd"
"PCB50.53",1.46,0.981,8.4e-05,"ParticipantA.nd"
"PCB51",0,0,0,"ParticipantA.nd"
"PCB52",1.69,0.978,0.000113,"ParticipantA.nd"
"PCB54",1.31,0.994,7.66e-06,"ParticipantA.nd"
"PCB55",2.47,0.89,0.00302,"ParticipantA.nd"
"PCB56",2.8,0.973,0.00018,"ParticipantA.nd"
"PCB57",2.18,0.939,0.000905,"ParticipantA.nd"
"PCB59.62.75",1.82,0.959,0.000413,"ParticipantA.nd"
"PCB58",2.06,0.977,0.000129,"ParticipantA.nd"
"PCB60",2.79,0.973,0.000173,"ParticipantA.nd"
"PCB61.70.74.76",2.51,0.975,0.000153,"ParticipantA.nd"
"PCB63",2.42,0.973,0.000179,"ParticipantA.nd"
"PCB64",1.95,0.978,0.000115,"ParticipantA.nd"
"PCB66",2.56,0.972,0.000188,"ParticipantA.nd"
"PCB67",2.36,0.944,0.000775,"ParticipantA.nd"
"PCB68",2.89,0.963,0.000323,"ParticipantA.nd"
"PCB72",2.08,0.981,8.88e-05,"ParticipantA.nd"
"PCB73",0,0,0,"ParticipantA.nd"
"PCB77",4.49,0.952,0.000562,"ParticipantA.nd"
"PCB78",0,0,0,"ParticipantA.nd"
"PCB79",2.84,0.964,0.00031,"ParticipantA.nd"
"PCB80",5.23,0.893,0.00987,"ParticipantA.nd"
"PCB81",0,0,0,"ParticipantA.nd"
"PCB82",3.7,0.958,0.00042,"ParticipantA.nd"
"PCB83",0,0,0,"ParticipantA.nd"
"PCB84",2.52,0.977,0.000124,"ParticipantA.nd"
"PCB85.116",3.58,0.97,0.000214,"ParticipantA.nd"
"PCB86.97.109.119",3.35,0.976,0.000141,"ParticipantA.nd"
"PCB87.125",3.5,0.975,0.000147,"ParticipantA.nd"
"PCB88",0,0,0,"ParticipantA.nd"
"PCB89",2.77,0.979,0.000109,"ParticipantA.nd"
"PCB90.101.113",2.91,0.98,9.99e-05,"ParticipantA.nd"
"PCB91",2.45,0.978,0.000113,"ParticipantA.nd"
"PCB92",2.79,0.981,8.71e-05,"ParticipantA.nd"
"PCB93.100",2.23,0.976,0.000138,"ParticipantA.nd"
"PCB94",2.17,0.979,0.000108,"ParticipantA.nd"
