"congener","Sampling_Rate","R2","p_value","group"
"PCB1","0","0","0","ParticipantY.1st.nd"
"PCB2","0.603","0.867","0.0453","ParticipantY.1st.nd"
"PCB3","0.651","0.857","0.0489","ParticipantY.1st.nd"
"PCB4","0.363","0.643","0.127","ParticipantY.1st.nd"
"PCB5","0.635","0.818","0.0627","ParticipantY.1st.nd"
"PCB6","0.539","0.741","0.0903","ParticipantY.1st.nd"
"PCB7","0.461","0.664","0.119","ParticipantY.1st.nd"
"PCB8","0.601","0.714","0.1","ParticipantY.1st.nd"
"PCB9","0.461","0.676","0.114","ParticipantY.1st.nd"
"PCB10","0.382","0.81","0.0654","ParticipantY.1st.nd"
"PCB11","0.638","0.893","0.0364","ParticipantY.1st.nd"
"PCB12.13","0.677","0.867","0.0454","ParticipantY.1st.nd"
"PCB14","0","0","0","ParticipantY.1st.nd"
"PCB15","1.1","0.753","0.0859","ParticipantY.1st.nd"
"PCB16","1.27","0.722","0.0975","ParticipantY.1st.nd"
"PCB17","1.1","0.727","0.0956","ParticipantY.1st.nd"
"PCB18.30","1.11","0.746","0.0886","ParticipantY.1st.nd"
"PCB19","0.703","0.742","0.09","ParticipantY.1st.nd"
"PCB20.28","2.62","0.695","0.107","ParticipantY.1st.nd"
"PCB21.33","2.4","0.698","0.106","ParticipantY.1st.nd"
"PCB22","2.45","0.706","0.103","ParticipantY.1st.nd"
"PCB23","4.81","0.657","0.122","ParticipantY.1st.nd"
"PCB24","1.19","0.723","0.0969","ParticipantY.1st.nd"
"PCB25","0","0","0","ParticipantY.1st.nd"
"PCB26.29","1.88","0.725","0.0962","ParticipantY.1st.nd"
"PCB27","1.18","0.731","0.094","ParticipantY.1st.nd"
"PCB31","2","0.739","0.091","ParticipantY.1st.nd"
"PCB32","1.27","0.736","0.0923","ParticipantY.1st.nd"
"PCB34","0.874","0.749","0.0877","ParticipantY.1st.nd"
"PCB35","3.07","0.769","0.0801","ParticipantY.1st.nd"
"PCB36","0","0","0","ParticipantY.1st.nd"
"PCB37","3.3","0.707","0.103","ParticipantY.1st.nd"
"PCB38","1.58","0.802","0.0684","ParticipantY.1st.nd"
"PCB39","0.461","0.551","0.163","ParticipantY.1st.nd"
"PCB40.71","1.69","0.824","0.0606","ParticipantY.1st.nd"
"PCB41","2.75","0.823","0.0609","ParticipantY.1st.nd"
"PCB42","1.57","0.818","0.0628","ParticipantY.1st.nd"
"PCB43","0","0","0","ParticipantY.1st.nd"
"PCB44.47.65","1.17","0.835","0.0566","ParticipantY.1st.nd"
"PCB45","1.5","0.795","0.0708","ParticipantY.1st.nd"
"PCB46","0","0","0","ParticipantY.1st.nd"
"PCB48","2.08","0.809","0.0658","ParticipantY.1st.nd"
"PCB49.69","1.14","0.841","0.0546","ParticipantY.1st.nd"
"PCB50.53","1.15","0.839","0.0551","ParticipantY.1st.nd"
"PCB51","0","0","0","ParticipantY.1st.nd"
"PCB52","0.862","0.813","0.0646","ParticipantY.1st.nd"
"PCB54","0","0","0","ParticipantY.1st.nd"
"PCB55","0","0","0","ParticipantY.1st.nd"
"PCB56","2.24","0.969","0.0103","ParticipantY.1st.nd"
"PCB57","2.39","0.715","0.1","ParticipantY.1st.nd"
"PCB59.62.75","2.61","0.754","0.0858","ParticipantY.1st.nd"
"PCB58","0.945","0.945","0.0186","ParticipantY.1st.nd"
"PCB60","2.37","0.964","0.0121","ParticipantY.1st.nd"
"PCB61.70.74.76","1.57","0.982","0.0059","ParticipantY.1st.nd"
"PCB63","1.78","0.999","0.000494","ParticipantY.1st.nd"
"PCB64","1.41","0.854","0.05","ParticipantY.1st.nd"
"PCB66","1.95","0.882","0.0401","ParticipantY.1st.nd"
"PCB67","2.5","0.826","0.0598","ParticipantY.1st.nd"
"PCB68","0","0","0","ParticipantY.1st.nd"
