"congener","Sampling_Rate","R2","p_value","group"
"PCB1","0","0","0","ParticipantY.2nd.nd"
"PCB2","0","0","0","ParticipantY.2nd.nd"
"PCB3","0.37","0.942","0.0196","ParticipantY.2nd.nd"
"PCB4","0","0","0","ParticipantY.2nd.nd"
"PCB5","0","0","0","ParticipantY.2nd.nd"
"PCB6","0","0","0","ParticipantY.2nd.nd"
"PCB7","0","0","0","ParticipantY.2nd.nd"
"PCB8","0","0","0","ParticipantY.2nd.nd"
"PCB9","0","0","0","ParticipantY.2nd.nd"
"PCB10","0","0","0","ParticipantY.2nd.nd"
"PCB11","0.648","0.984","0.00548","ParticipantY.2nd.nd"
"PCB12.13","0.685","0.933","0.0227","ParticipantY.2nd.nd"
"PCB14","0","0","0","ParticipantY.2nd.nd"
"PCB15","0.875","0.949","0.0171","ParticipantY.2nd.nd"
"PCB16","1.06","0.925","0.0254","ParticipantY.2nd.nd"
"PCB17","0","0","0","ParticipantY.2nd.nd"
"PCB18.30","0.943","0.918","0.0276","ParticipantY.2nd.nd"
"PCB19","0","0","0","ParticipantY.2nd.nd"
"PCB20.28","2.06","0.923","0.0259","ParticipantY.2nd.nd"
"PCB21.33","2.03","0.914","0.0291","ParticipantY.2nd.nd"
"PCB22","1.97","0.915","0.0288","ParticipantY.2nd.nd"
"PCB23","8.24","0.764","0.0822","ParticipantY.2nd.nd"
"PCB24","0.92","0.964","0.0121","ParticipantY.2nd.nd"
"PCB25","1.39","0.914","0.0289","ParticipantY.2nd.nd"
"PCB26.29","1.39","0.926","0.0251","ParticipantY.2nd.nd"
"PCB27","1.11","0.898","0.0347","ParticipantY.2nd.nd"
"PCB31","1.46","0.933","0.0226","ParticipantY.2nd.nd"
"PCB32","1.4","0.917","0.0281","ParticipantY.2nd.nd"
"PCB34","3.83","0.795","0.0707","ParticipantY.2nd.nd"
"PCB35","1.23","0.878","0.0416","ParticipantY.2nd.nd"
"PCB36","3.37","0.722","0.0976","ParticipantY.2nd.nd"
"PCB37","2.25","0.944","0.0189","ParticipantY.2nd.nd"
"PCB38","0.789","0.856","0.0493","ParticipantY.2nd.nd"
"PCB39","0","0","0","ParticipantY.2nd.nd"
"PCB40.71","1.31","0.911","0.0302","ParticipantY.2nd.nd"
"PCB41","1.95","0.941","0.0199","ParticipantY.2nd.nd"
"PCB42","1.31","0.946","0.0182","ParticipantY.2nd.nd"
"PCB43","0","0","0","ParticipantY.2nd.nd"
"PCB44.47.65","0.934","0.94","0.02","ParticipantY.2nd.nd"
"PCB45","1.38","0.836","0.0561","ParticipantY.2nd.nd"
"PCB46","1.26","0.888","0.0381","ParticipantY.2nd.nd"
"PCB48","1.35","0.935","0.022","ParticipantY.2nd.nd"
"PCB49.69","0.953","0.933","0.0227","ParticipantY.2nd.nd"
"PCB50.53","0.95","0.891","0.0372","ParticipantY.2nd.nd"
"PCB51","0.863","0.994","0.00202","ParticipantY.2nd.nd"
"PCB52","0.829","0.954","0.0153","ParticipantY.2nd.nd"
"PCB54","0.966","0.987","0.0045","ParticipantY.2nd.nd"
"PCB55","0","0","0","ParticipantY.2nd.nd"
"PCB56","1.35","0.922","0.0263","ParticipantY.2nd.nd"
"PCB57","1.46","0.823","0.0609","ParticipantY.2nd.nd"
"PCB59.62.75","1.43","0.907","0.0317","ParticipantY.2nd.nd"
"PCB58","0","0","0","ParticipantY.2nd.nd"
"PCB60","1.47","0.911","0.03","ParticipantY.2nd.nd"
"PCB61.70.74.76","1.06","0.926","0.0248","ParticipantY.2nd.nd"
"PCB63","1.26","0.957","0.0146","ParticipantY.2nd.nd"
"PCB64","1.11","0.929","0.0238","ParticipantY.2nd.nd"
"PCB66","1.2","0.935","0.0218","ParticipantY.2nd.nd"
"PCB67","1.27","0.893","0.0364","ParticipantY.2nd.nd"
"PCB68","2.12","0.835","0.0567","ParticipantY.2nd.nd"
"PCB72","0","0","0","ParticipantY.2nd.nd"
"PCB73","0","0","0","ParticipantY.2nd.nd"
"PCB77","1.4","0.895","0.0355","ParticipantY.2nd.nd"
"PCB78","0","0","0","ParticipantY.2nd.nd"
"PCB79","0.892","0.888","0.0381","ParticipantY.2nd.nd"
"PCB80","0","0","0","ParticipantY.2nd.nd"
"PCB81","0","0","0","ParticipantY.2nd.nd"
"PCB82","0.887","0.985","0.00493","ParticipantY.2nd.nd"
"PCB83","0.9","0.935","0.0221","ParticipantY.2nd.nd"
"PCB84","0.809","0.98","0.00682","ParticipantY.2nd.nd"
"PCB85.116","0.968","0.973","0.00918","ParticipantY.2nd.nd"
"PCB86.97.109.119","0.827","0.984","0.00543","ParticipantY.2nd.nd"
"PCB87.125","1.04","0.948","0.0173","ParticipantY.2nd.nd"
"PCB88","0","0","0","ParticipantY.2nd.nd"
"PCB89","0.895","0.958","0.0141","ParticipantY.2nd.nd"
"PCB90.101.113","0.893","0.965","0.0116","ParticipantY.2nd.nd"
"PCB91","0","0","0","ParticipantY.2nd.nd"
"PCB92","0.937","0.961","0.0131","ParticipantY.2nd.nd"
"PCB93.100","0.608","0.931","0.0233","ParticipantY.2nd.nd"
"PCB94","0.792","0.958","0.0141","ParticipantY.2nd.nd"
"PCB95","0.844","0.965","0.0118","ParticipantY.2nd.nd"
"PCB96","0.696","0.965","0.0116","ParticipantY.2nd.nd"
"PCB98","0","0","0","ParticipantY.2nd.nd"
"PCB99","0.961","0.975","0.00849","ParticipantY.2nd.nd"
"PCB102","0.809","0.999","0.000325","ParticipantY.2nd.nd"
"PCB103","0.736","0.998","0.000811","ParticipantY.2nd.nd"
"PCB104","0","0","0","ParticipantY.2nd.nd"
"PCB105","1.14","0.994","0.00194","ParticipantY.2nd.nd"
"PCB106","0","0","0","ParticipantY.2nd.nd"
"PCB107","1.16","0.947","0.0178","ParticipantY.2nd.nd"
"PCB108.124","1.16","0.956","0.0149","ParticipantY.2nd.nd"
"PCB110","0.977","0.959","0.0138","ParticipantY.2nd.nd"
"PCB111","0","0","0","ParticipantY.2nd.nd"
"PCB112","0","0","0","ParticipantY.2nd.nd"
"PCB114","1.08","0.964","0.0122","ParticipantY.2nd.nd"
"PCB115","0","0","0","ParticipantY.2nd.nd"
"PCB117","0.865","0.99","0.0032","ParticipantY.2nd.nd"
"PCB118","1.07","0.967","0.0112","ParticipantY.2nd.nd"
"PCB120","0","0","0","ParticipantY.2nd.nd"
"PCB121","0","0","0","ParticipantY.2nd.nd"
"PCB122","1.05","0.997","0.000919","ParticipantY.2nd.nd"
"PCB123","1.33","0.984","0.00533","ParticipantY.2nd.nd"
"PCB126","0","0","0","ParticipantY.2nd.nd"
"PCB127","0","0","0","ParticipantY.2nd.nd"
"PCB128.166","1.27","0.995","0.00169","ParticipantY.2nd.nd"
"PCB129.138.163","1.18","0.986","0.00458","ParticipantY.2nd.nd"
"PCB130","1.16","0.989","0.00377","ParticipantY.2nd.nd"
"PCB131","1.09","0.964","0.012","ParticipantY.2nd.nd"
"PCB132","1.13","0.974","0.00874","ParticipantY.2nd.nd"
"PCB133","0.984","0.986","0.00472","ParticipantY.2nd.nd"
"PCB134","1.07","0.975","0.00837","ParticipantY.2nd.nd"
"PCB135.151","0.993","0.968","0.0109","ParticipantY.2nd.nd"
"PCB136","0.959","0.963","0.0125","ParticipantY.2nd.nd"
"PCB137","1.13","0.98","0.00676","ParticipantY.2nd.nd"
"PCB139.140","1.07","0.951","0.0166","ParticipantY.2nd.nd"
"PCB141","1.15","0.976","0.00786","ParticipantY.2nd.nd"
"PCB142","0","0","0","ParticipantY.2nd.nd"
"PCB143","0","0","0","ParticipantY.2nd.nd"
"PCB144","1.02","0.978","0.00748","ParticipantY.2nd.nd"
"PCB145","0.927","0.897","0.035","ParticipantY.2nd.nd"
"PCB146","1.11","0.973","0.00906","ParticipantY.2nd.nd"
"PCB147.149","1.06","0.971","0.00987","ParticipantY.2nd.nd"
"PCB148","0.653","0.874","0.0428","ParticipantY.2nd.nd"
"PCB150","0.657","0.962","0.0127","ParticipantY.2nd.nd"
"PCB152","0.736","0.888","0.0379","ParticipantY.2nd.nd"
