"congener","Sampling_Rate","R2","p_value","group"
"PCB1",0.345,0.984,0.00532,"ParticipantY.nw.d"
"PCB2",0.472,0.979,0.00697,"ParticipantY.nw.d"
"PCB3",0.448,0.976,0.00796,"ParticipantY.nw.d"
"PCB4",0.343,0.999,0.00029,"ParticipantY.nw.d"
"PCB5",0.445,0.926,0.025,"ParticipantY.nw.d"
"PCB6",0.551,0.957,0.0143,"ParticipantY.nw.d"
"PCB7",0.568,0.96,0.0133,"ParticipantY.nw.d"
"PCB8",0.579,0.94,0.0201,"ParticipantY.nw.d"
"PCB9",0.47,0.967,0.011,"ParticipantY.nw.d"
"PCB10",0.293,0.921,0.0265,"ParticipantY.nw.d"
"PCB11",1.42,0.999,0.000179,"ParticipantY.nw.d"
"PCB12.13",0.671,0.991,0.00313,"ParticipantY.nw.d"
"PCB14",0,0,0,"ParticipantY.nw.d"
"PCB15",1.1,0.968,0.0109,"ParticipantY.nw.d"
"PCB16",1.47,0.932,0.0231,"ParticipantY.nw.d"
"PCB17",1.38,0.932,0.0228,"ParticipantY.nw.d"
"PCB18.30",1.16,0.94,0.0203,"ParticipantY.nw.d"
"PCB19",0.822,0.922,0.0263,"ParticipantY.nw.d"
"PCB20.28",2.3,0.941,0.0198,"ParticipantY.nw.d"
"PCB21.33",2.04,0.95,0.0168,"ParticipantY.nw.d"
"PCB22",2.09,0.932,0.023,"ParticipantY.nw.d"
"PCB23",7.84,0.933,0.0227,"ParticipantY.nw.d"
"PCB24",0.946,0.941,0.0197,"ParticipantY.nw.d"
"PCB25",0,0,0,"ParticipantY.nw.d"
"PCB26.29",0.964,0.983,0.00564,"ParticipantY.nw.d"
"PCB27",1.64,0.861,0.0476,"ParticipantY.nw.d"
"PCB31",1.68,0.947,0.0178,"ParticipantY.nw.d"
"PCB32",1.58,0.939,0.0204,"ParticipantY.nw.d"
"PCB34",4.79,0.783,0.0752,"ParticipantY.nw.d"
"PCB35",0.46,0.317,0.262,"ParticipantY.nw.d"
"PCB36",3.46,0.672,0.116,"ParticipantY.nw.d"
"PCB37",2.23,0.936,0.0217,"ParticipantY.nw.d"
"PCB38",0.677,0.892,0.0366,"ParticipantY.nw.d"
"PCB39",0.613,0.981,0.00647,"ParticipantY.nw.d"
"PCB40.71",0.973,0.978,0.00747,"ParticipantY.nw.d"
"PCB41",2.24,0.931,0.0233,"ParticipantY.nw.d"
"PCB42",1.11,0.953,0.0158,"ParticipantY.nw.d"
"PCB43",1.11,0.944,0.0187,"ParticipantY.nw.d"
"PCB44.47.65",0.801,0.981,0.00629,"ParticipantY.nw.d"
"PCB45",1.04,0.97,0.00992,"ParticipantY.nw.d"
"PCB46",0.978,0.992,0.0027,"ParticipantY.nw.d"
"PCB48",1.17,0.977,0.00754,"ParticipantY.nw.d"
"PCB49.69",0.786,0.981,0.00627,"ParticipantY.nw.d"
"PCB50.53",0.745,0.99,0.00324,"ParticipantY.nw.d"
"PCB51",1.22,0.976,0.00799,"ParticipantY.nw.d"
"PCB52",0.701,0.986,0.00477,"ParticipantY.nw.d"
"PCB54",0,0,0,"ParticipantY.nw.d"
"PCB55",0,0,0,"ParticipantY.nw.d"
