"congener","Sampling_Rate","R2","p_value","group"
"PCB1",0.335,0.981,0.00629,"ParticipantY.w"
"PCB2",0.388,0.898,0.0346,"ParticipantY.w"
"PCB3",0.379,0.981,0.00639,"ParticipantY.w"
"PCB4",0.362,0.993,0.00241,"ParticipantY.w"
"PCB5",0.443,0.98,0.00681,"ParticipantY.w"
"PCB6",0.608,0.966,0.0113,"ParticipantY.w"
"PCB7",0.537,0.976,0.00819,"ParticipantY.w"
"PCB8",0.644,0.957,0.0143,"ParticipantY.w"
"PCB9",0.525,0.976,0.00807,"ParticipantY.w"
"PCB10",0.364,0.971,0.00976,"ParticipantY.w"
"PCB11",1.16,0.979,0.00687,"ParticipantY.w"
"PCB12.13",0.731,0.972,0.00927,"ParticipantY.w"
"PCB14",0,0,0,"ParticipantY.w"
"PCB15",1.19,0.955,0.0152,"ParticipantY.w"
"PCB16",1.49,0.932,0.0231,"ParticipantY.w"
"PCB17",1.36,0.934,0.0223,"ParticipantY.w"
"PCB18.30",1.23,0.928,0.0242,"ParticipantY.w"
"PCB19",0.889,0.937,0.0213,"ParticipantY.w"
"PCB20.28",2.41,0.949,0.0172,"ParticipantY.w"
"PCB21.33",2.18,0.956,0.0147,"ParticipantY.w"
"PCB22",2.22,0.938,0.0208,"ParticipantY.w"
"PCB23",8.66,0.914,0.0292,"ParticipantY.w"
"PCB24",0.829,0.852,0.0505,"ParticipantY.w"
"PCB25",0,0,0,"ParticipantY.w"
"PCB26.29",1.04,0.953,0.0159,"ParticipantY.w"
"PCB27",1.52,0.874,0.0429,"ParticipantY.w"
"PCB31",1.78,0.953,0.0156,"ParticipantY.w"
"PCB32",1.69,0.93,0.0237,"ParticipantY.w"
"PCB34",5.35,0.723,0.0971,"ParticipantY.w"
"PCB35",0.57,0.19,0.322,"ParticipantY.w"
"PCB36",5.92,0.651,0.124,"ParticipantY.w"
"PCB37",2.32,0.957,0.0143,"ParticipantY.w"
"PCB38",0.933,0.875,0.0426,"ParticipantY.w"
"PCB39",1.01,0.961,0.013,"ParticipantY.w"
"PCB40.71",1,0.973,0.00915,"ParticipantY.w"
"PCB41",2.56,0.895,0.0358,"ParticipantY.w"
"PCB42",1.13,0.965,0.0118,"ParticipantY.w"
"PCB43",1.25,0.912,0.0297,"ParticipantY.w"
"PCB44.47.65",0.816,0.974,0.0088,"ParticipantY.w"
"PCB45",1.11,0.993,0.00241,"ParticipantY.w"
"PCB46",1.05,0.989,0.00369,"ParticipantY.w"
"PCB48",1.16,0.966,0.0115,"ParticipantY.w"
