"","congener","slope","R2","p-value"
"1","PCB1","0.0014","0.6173","0.072"
"2","PCB2","0.00024","0.001776","0.39"
"3","PCB3","0.0011","0.6469","0.0632"
"4","PCB4","0.01","0.841","0.0181"
"5","PCB5","9e-04","0.8436","0.0177"
"6","PCB6","0.0069","0.8921","0.01"
"7","PCB7","0.0015","0.7119","0.0458"
"8","PCB8","0.031","0.9787","0.000863"
"9","PCB9","0.0023","0.7857","0.0288"
"10","PCB10","0.00058","0.5759","0.085"
"11","PCB11","0.013","0.8384","0.0186"
"12","PCB12.13","0.0018","0.7623","0.0338"
"13","PCB15","0.0096","0.8908","0.0102"
"14","PCB16","0.017","0.8746","0.0126"
"15","PCB17","0.015","0.8815","0.0116"
"16","PCB18.30","0.034","0.9889","0.000325"
"17","PCB19","0.0035","0.9568","0.0025"
"18","PCB20.28","0.034","0.9635","0.00194"
"19","PCB21.33","0.024","0.9885","0.00034"
"20","PCB22","0.013","0.9907","0.000248"
"21","PCB23","6.8e-05","-0.06147","0.445"
"22","PCB24","0.00064","0.7617","0.034"
"23","PCB25","0.0034","0.9585","0.00235"
"24","PCB26.29","0.0076","0.9152","0.00694"
"25","PCB27","0.0022","0.8415","0.0181"
"26","PCB31","0.048","0.9909","0.000241"
"27","PCB32","0.0093","0.884","0.0112"
"28","PCB34","1e-04","0.1856","0.261"
"29","PCB35","0.00086","0.6737","0.0557"
"30","PCB36","-1e-04","0.7222","0.0432"
"31","PCB37","0.008","0.9093","0.00769"
"32","PCB38","0.00057","0.9751","0.00109"
"33","PCB39","0.00022","0.9062","0.00809"
"34","PCB40.71","0.036","0.9626","0.00201"
"35","PCB41","0.0038","0.841","0.0182"
"36","PCB42","0.023","0.9435","0.00375"
"37","PCB43","0.0033","0.9846","0.000528"
"38","PCB44.47.65","0.26","0.9683","0.00156"
"39","PCB45","0.011","0.9602","0.00221"
"40","PCB46","0.0042","0.9488","0.00323"
"41","PCB48","0.015","0.9551","0.00265"
"42","PCB49.69","0.14","0.9967","5.12e-05"
"43","PCB50.53","0.02","0.9541","0.00274"
"44","PCB51","0.0015","0.7978","0.0263"
"45","PCB52","0.74","0.9995","2.99e-06"
"46","PCB54","2e-04","0.05435","0.348"
"47","PCB55","0.00085","0.5589","0.0906"
"48","PCB56","0.024","0.9881","0.000357"
"49","PCB57","0.00023","0.2743","0.211"
"50","PCB58","-0.0016","0.3333","0.182"
"51","PCB59.62.75","0.005","0.7709","0.032"
"52","PCB60","0.011","0.9759","0.00104"
"53","PCB61.70.74.76","0.28","0.9897","0.00029"
"54","PCB63","0.0032","0.9629","0.00199"
"55","PCB64","0.078","0.9692","0.0015"
"56","PCB66","0.061","0.9818","0.000677"
"57","PCB67","0.0013","0.6823","0.0534"
"58","PCB68","0.00011","-0.09194","0.475"
"59","PCB72","0.00034","0.2537","0.222"
"60","PCB73","0","NaN","NaN"
"61","PCB77","0.0013","0.6649","0.0582"
"62","PCB78","0","NaN","NaN"
"63","PCB79","0.0015","0.7046","0.0476"
"64","PCB80","0.0016","0.7306","0.0412"
"65","PCB81","-0.0013","0.3333","0.182"
"66","PCB82","0.023","0.9861","0.000453"
"67","PCB83","0.013","0.9611","0.00213"
"68","PCB84","0.13","0.9859","0.000461"
"69","PCB85.116","0.033","0.924","0.00588"
"70","PCB86.97.109.119","0.079","0.9358","0.00456"
"71","PCB87.125","0.15","0.933","0.00485"
"72","PCB88","-0.015","-0.2543","0.693"
"73","PCB89","0.0039","0.9692","0.0015"
"74","PCB90.101.113","0.39","0.994","0.00013"
"75","PCB91","0.073","0.509","0.108"
"76","PCB92","0.076","0.9877","0.000377"
"77","PCB93.100","0.0028","0.9188","0.00649"
"78","PCB94","0.0022","0.9723","0.00128"
"79","PCB95","0.52","0.9836","0.000583"
"80","PCB96","0.0051","0.9302","0.00516"
"81","PCB98","2.7e-05","-0.328","0.92"
"82","PCB99","0.13","0.9926","0.000174"
"83","PCB102","0.016","0.9776","0.000931"
"84","PCB103","0.0028","0.9512","0.00301"
"85","PCB104","8.6e-05","-0.205","0.611"
"86","PCB105","0.026","0.9919","0.000202"
"87","PCB106","-5.5e-07","-0.3333","0.992"
"88","PCB107","0.0063","0.9973","3.97e-05"
"89","PCB108.124","0.0049","0.9945","0.000112"
"90","PCB110","0.26","0.948","0.0033"
"91","PCB111","0","NaN","NaN"
"92","PCB112","0","NaN","NaN"
"93","PCB114","0.0021","0.6968","0.0496"
"94","PCB115","0.002","0.6277","0.0688"
"95","PCB117","0.0054","0.7958","0.0267"
"96","PCB118","0.097","0.9826","0.000636"
"97","PCB120","0.00023","0.3412","0.178"
"98","PCB121","-8.9e-05","0.3333","0.182"
"99","PCB122","0.0012","0.8916","0.0101"
"100","PCB123","0.0016","0.8312","0.0199"
"101","PCB126","0","NaN","NaN"
"102","PCB127","0","NaN","NaN"
"103","PCB129.138.163","0.089","0.9806","0.000748"
"104","PCB130","0.0062","0.9695","0.00148"
"105","PCB131","0.0041","0.9427","0.00383"
"106","PCB132","0.055","0.9488","0.00323"
"107","PCB133","0.0018","0.9711","0.00137"
"108","PCB134","0.017","0.9584","0.00236"
"109","PCB135.151","0.062","0.9921","0.000195"
"110","PCB136","0.056","0.9924","0.000184"
"111","PCB137","0.0068","0.9646","0.00185"
"112","PCB139.140","0.0049","0.9664","0.00171"
"113","PCB141","0.017","0.9855","0.000482"
"114","PCB143","-2.4e-07","-0.3333","0.992"
"115","PCB142","0.00054","0.364","0.167"
"116","PCB144","0.011","0.9922","0.000189"
"117","PCB145","0.00021","0.7249","0.0425"
"118","PCB146","0.014","0.9877","0.000376"
"119","PCB147.149","0.14","0.9769","0.00097"
"120","PCB148","0.00015","0.07972","0.33"
"121","PCB150","0.00045","0.5671","0.0879"
"122","PCB152","7e-04","0.9018","0.00868"
"123","PCB153.168","0.072","0.9856","0.000476"
"124","PCB154","0.0019","0.9355","0.00458"
"125","PCB155","-3.8e-05","-0.2879","0.766"
"126","PCB156.157","0.0034","0.9819","0.000676"
"127","PCB158","0.0094","0.9271","0.00552"
"128","PCB159","0","NaN","NaN"
"129","PCB160","0","NaN","NaN"
"130","PCB161","-2e-04","0.3333","0.182"
"131","PCB162","0","NaN","NaN"
"132","PCB164","0.0049","0.9608","0.00216"
"133","PCB165","0","NaN","NaN"
