"","congener","Sampling Rate (m3/d)","R2","p-value"
"1","PCB1",NA,NA,NA
"2","PCB2",NA,NA,NA
"3","PCB3",NA,NA,NA
"4","PCB4",0.485,0.953,0.00286
"5","PCB5",0.514,0.94,0.00407
"6","PCB6",0.539,0.967,0.00169
"7","PCB7",NA,NA,NA
"8","PCB8",0.531,0.978,0.000929
"9","PCB9",0.571,0.933,0.00489
"10","PCB10",0.794,0.943,0.00377
"11","PCB11",NA,NA,NA
"12","PCB12.13",0.894,0.925,0.0058
"13","PCB14",NA,NA,NA
"14","PCB15",NA,NA,NA
"15","PCB16",0.554,0.906,0.00818
"16","PCB17",0.551,0.954,0.00273
"17","PCB18.30",0.559,0.988,0.000367
"18","PCB19",0.734,0.992,0.000203
"19","PCB20.28",0.5,0.991,0.000227
"20","PCB21.33",0.503,0.988,0.000363
"21","PCB22",0.473,0.989,0.000307
"22","PCB23",NA,NA,NA
"23","PCB24",0.765,0.903,0.0085
"24","PCB25",0.599,0.951,0.00307
"25","PCB26.29",0.595,0.962,0.00204
"26","PCB27",0.606,0.985,0.000506
"27","PCB31",0.521,0.97,0.00144
"28","PCB32",0.569,0.961,0.00217
"29","PCB34",NA,NA,NA
"30","PCB35",NA,NA,NA
"31","PCB36",0.558,0.933,0.00484
"32","PCB37",0.519,0.95,0.00308
"33","PCB38",0.598,0.906,0.00809
"34","PCB39",0.652,0.926,0.00567
"35","PCB40.71",0.55,0.945,0.00357
"36","PCB41",1.8,0.964,0.00191
"37","PCB42",0.602,0.981,0.000728
"38","PCB43",1.43,0.967,0.00166
"39","PCB44.47.65",0.516,0.973,0.00121
"40","PCB45.51",0.54,0.945,0.00356
"41","PCB46",0.902,0.985,0.000511
"42","PCB48",0.583,0.987,0.000413
"43","PCB49.69",0.511,0.977,0.000987
"44","PCB50.53",0.562,0.964,0.00193
"45","PCB52",0.503,0.971,0.00138
"46","PCB54",NA,NA,NA
"47","PCB55",0.683,0.933,0.00485
"48","PCB56",0.493,0.96,0.00224
"49","PCB57",NA,NA,NA
"50","PCB58",NA,NA,NA
"51","PCB59.62.75",0.646,0.94,0.00415
"52","PCB60",0.445,0.987,0.00041
"53","PCB61.70.74.76",NA,NA,NA
"54","PCB63",1.58,0.929,0.00528
"55","PCB64",0.549,0.975,0.00108
"56","PCB66",0.551,0.979,0.000841
"57","PCB67",NA,NA,NA
"58","PCB68",NA,NA,NA
"59","PCB72",NA,NA,NA
"60","PCB73",NA,NA,NA
"61","PCB77",NA,NA,NA
"62","PCB78",NA,NA,NA
"63","PCB79",NA,NA,NA
"64","PCB80",NA,NA,NA
"65","PCB81",NA,NA,NA
"66","PCB82",0.496,0.968,0.00162
"67","PCB83",NA,NA,NA
"68","PCB84",0.427,0.93,0.00513
"69","PCB85.116",0.869,0.911,0.00749
"70","PCB86.97.109.119",0.675,0.949,0.00321
"71","PCB87.125",0.382,0.933,0.00484
"72","PCB88",0.534,0.931,0.00507
"73","PCB89",0.524,0.933,0.00482
"74","PCB90.101.113",0.454,0.945,0.00364
"75","PCB91",0.337,0.968,0.00158
"76","PCB92",0.423,0.952,0.00289
"77","PCB93.100",0.774,0.957,0.00245
"78","PCB94",0.998,0.978,0.000887
"79","PCB95",0.447,0.933,0.00486
"80","PCB96",0.907,0.905,0.0082
"81","PCB98",NA,NA,NA
"82","PCB99",0.541,0.965,0.0018
"83","PCB102",0.39,0.902,0.00866
"84","PCB103",0.958,0.94,0.0041
"85","PCB104",NA,NA,NA
"86","PCB105",0.515,0.961,0.0021
"87","PCB106",NA,NA,NA
"88","PCB107",0.579,0.93,0.00518
"89","PCB108.124",0.62,0.93,0.00514
"90","PCB110",0.336,0.936,0.00453
"91","PCB111",NA,NA,NA
"92","PCB112",0.717,0.956,0.00256
"93","PCB114",0.326,0.934,0.00474
"94","PCB115",0.759,0.922,0.00608
"95","PCB117",NA,NA,NA
"96","PCB118",0.6,0.95,0.00315
"97","PCB120",NA,NA,NA
"98","PCB121",NA,NA,NA
"99","PCB122",0.404,0.951,0.00304
"100","PCB123",1.02,0.922,0.00614
"101","PCB126",NA,NA,NA
"102","PCB127",NA,NA,NA
"103","PCB128.166",0.534,0.92,0.00632
"104","PCB129.138.163",0.557,0.966,0.00172
"105","PCB130",0.643,0.957,0.00249
"106","PCB131",0.482,0.917,0.00675
"107","PCB132",0.469,0.972,0.00132
"108","PCB133",0.677,0.942,0.00387
"109","PCB134",0.526,0.967,0.00166
