"","congener","Sampling Rate (m3/d)","R2","p-value"
"1","PCB1",0.361,0.93,0.00122
"2","PCB2",NA,NA,NA
"3","PCB3",0.469,0.937,0.000972
"4","PCB4",0.458,0.972,0.000194
"5","PCB5",0.516,0.968,0.00024
"6","PCB6",0.517,0.981,8.51e-05
"7","PCB7",0.522,0.951,0.000582
"8","PCB8",0.497,0.994,8.8e-06
"9","PCB9",0.511,0.963,0.000327
"10","PCB10",0.497,0.927,0.00131
"11","PCB11",0.705,0.953,0.000548
"12","PCB12.13",0.547,0.958,0.000419
"13","PCB15",0.536,0.981,8.7e-05
"14","PCB16",0.538,0.979,0.00011
"15","PCB17",0.542,0.98,9.82e-05
"16","PCB18.30",0.531,0.995,4.99e-06
"17","PCB19",0.508,0.988,3.3e-05
"18","PCB20.28",0.528,0.993,1.22e-05
"19","PCB21.33",0.515,0.997,2.03e-06
"20","PCB22",0.516,0.997,1.67e-06
"21","PCB23",NA,NA,NA
"22","PCB24",0.554,0.96,0.000397
"23","PCB25",0.519,0.991,1.96e-05
"24","PCB26.29",0.522,0.985,5.71e-05
"25","PCB27",0.546,0.973,0.000175
"26","PCB31",0.531,0.997,1.69e-06
"27","PCB32",0.553,0.98,9.4e-05
"28","PCB34",NA,NA,NA
"29","PCB35",0.571,0.944,0.000758
"30","PCB36",NA,NA,NA
"31","PCB37",0.545,0.984,6.16e-05
"32","PCB38",0.562,0.994,7.6e-06
"33","PCB39",NA,NA,NA
"34","PCB40.71",0.56,0.993,1.13e-05
"35","PCB41",0.533,0.97,0.000211
"36","PCB42",0.55,0.99,2.46e-05
"37","PCB43",0.546,0.994,8.21e-06
"38","PCB44.47.65",0.566,0.995,7.17e-06
"39","PCB45",0.529,0.993,1.24e-05
"40","PCB46",0.53,0.99,2.24e-05
"41","PCB48",0.566,0.992,1.59e-05
"42","PCB49.69",0.536,0.998,8.28e-07
"43","PCB50.53",0.53,0.991,2.09e-05
"44","PCB51",0.544,0.963,0.000324
"45","PCB52",0.544,0.999,8.93e-08
"46","PCB54",NA,NA,NA
"47","PCB55",0.524,0.924,0.00141
"48","PCB56",0.503,0.997,2.17e-06
"49","PCB57",NA,NA,NA
"50","PCB58",NA,NA,NA
"51","PCB59.62.75",0.567,0.961,0.000372
"52","PCB60",0.517,0.995,5.87e-06
"53","PCB61.70.74.76",0.509,0.998,1.1e-06
"54","PCB63",0.515,0.99,2.26e-05
"55","PCB64",0.553,0.995,7.16e-06
"56","PCB66",0.511,0.997,2.77e-06
"57","PCB67",0.516,0.946,0.000714
"58","PCB68",NA,NA,NA
"59","PCB72",NA,NA,NA
"60","PCB73",NA,NA,NA
"61","PCB77",0.556,0.938,0.00095
"62","PCB78",NA,NA,NA
"63","PCB79",0.404,0.947,0.000671
"64","PCB80",NA,NA,NA
"65","PCB81",NA,NA,NA
"66","PCB82",0.51,0.997,2.53e-06
"67","PCB83",0.198,0.99,2.57e-05
"68","PCB84",0.496,0.998,1.44e-06
"69","PCB85.116",0.25,0.987,4.01e-05
"70","PCB86.97.109.119",0.408,0.989,2.95e-05
"71","PCB87.125",0.648,0.989,3.15e-05
"72","PCB88",NA,NA,NA
"73","PCB89",0.491,0.994,8.49e-06
"74","PCB90.101.113",0.499,0.999,3.81e-07
"75","PCB91",NA,NA,NA
"76","PCB92",0.49,0.998,1.09e-06
"77","PCB93.100",0.486,0.986,4.72e-05
"78","PCB94",0.496,0.994,9.7e-06
"79","PCB95",0.495,0.997,1.9e-06
"80","PCB96",0.549,0.988,3.38e-05
"81","PCB98",NA,NA,NA
"82","PCB99",0.551,0.998,5.96e-07
"83","PCB102",0.486,0.996,3.95e-06
"84","PCB103",0.49,0.992,1.71e-05
"85","PCB104",NA,NA,NA
"86","PCB105",0.52,0.997,1.6e-06
"87","PCB106",NA,NA,NA
"88","PCB107",0.515,0.997,1.97e-06
"89","PCB108.124",0.512,0.994,8.66e-06
"90","PCB110",0.624,0.991,1.89e-05
"91","PCB111",NA,NA,NA
"92","PCB112",NA,NA,NA
"93","PCB114",0.539,0.929,0.00123
"94","PCB115",NA,NA,NA
"95","PCB117",0.332,0.962,0.000357
"96","PCB118",0.547,0.995,6.03e-06
"97","PCB120",NA,NA,NA
"98","PCB121",NA,NA,NA
"99","PCB122",0.527,0.981,8.58e-05
"100","PCB123",0.539,0.964,0.000323
"101","PCB126",NA,NA,NA
"102","PCB127",NA,NA,NA
