"","wt.01.r","wt.02.r","wt.04.r","wt.06.r","wt.07.r","wt.09.r","wt.03.r","wt.08.r","wt.08.r.1","wt.13.r","wt.16.r","wt.21.r","wt.12.r","wt.10.r","wt.20.r","wt.11.r","wt.17.r","wt.22.r","wt.05.r","wt.14.r","wt.18.r","wt.19.r","wt.24.r","wt.25.r","wt.01.l","wt.02.l","wt.06.l","wt.07.l","wt.15.r","wt.23.r","wt.15.l","wt.18.l","wt.19.l","wt.23.l","wt.24.l","wt.25.l"
"wt.01.r","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wt.02.r","0.902","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wt.04.r","0.524","0.549","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wt.06.r","0.774","0.871","0.657","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wt.07.r","0.61","0.66","0.825","0.848","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wt.09.r","0.706","0.797","0.692","0.936","0.85","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wt.03.r","0.757","0.787","0.545","0.909","0.771","0.872","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wt.08.r","0.69","0.765","0.67","0.86","0.811","0.832","0.886","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wt.08.r.1","0.738","0.8","0.638","0.902","0.792","0.883","0.915","0.893","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wt.13.r","0.747","0.724","0.409","0.821","0.607","0.785","0.901","0.755","0.833","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
